0	-9.46717
1	-7.98273
2	-10.5004
3	-11.0021
4	-9.98603
5	-11.7142
6	-12.8769
7	-11.4712
8	-11.1979
9	-11.4528
10	-12.2487
11	-13.5422
12	-13.1585
13	-14.3017
14	-14.3326
15	-12.5485
16	-11.8729
17	-13.6132
18	-14.1238
19	-14.3298
20	-12.2385
21	-11.4902
22	-10.6302
23	-10.3399
24	-11.0318
25	-9.747
26	-6.72247
27	-3.11312
28	-2.89571
29	-1.48534
30	-0.905808
31	-0.525485
32	-2.23463
33	-3.26261
34	-3.60753
35	-3.80572
36	-5.93417
37	-6.09661
38	-4.74022
39	-6.53506
40	-6.25796
41	-7.14841
42	-6.49219
43	-6.10446
44	-3.71418
45	-3.46575
46	-4.32451
47	-1.6766
